Country Name,3 letter country code,Total confirmed cases,Total deceased,Total vaccinations,Deceased to Confirmed cases %
Madagascar,MDG,66652,1410,1521766,2.1154654023885255
New Caledonia,NCL,74222,314,190408,0.423055158847781
French Polynesia,PYF,76578,649,186219,0.847501893494215
Russia,RUS,32627601,706791,84004373,2.1662364940652545
Sierra Leone,SLE,13087,219,2904587,1.6734163673874838
Venezuela,VEN,935540,5809,22157232,0.6209248134767087
Vanuatu,VUT,11921,14,143339,0.11743981209630065
Wallis and Futuna,WLF,761,7,5197,0.9198423127463863
Taiwan,TWN,10061168,10423,21634247,0.10359632201748346
United Arab Emirates,ARE,1021191,2342,9154521,0.22934005489668435
Anguilla,AIA,3856,12,10846,0.3112033195020747
Austria,AUT,15025546,61992,13184659,0.41257735326223755
Australia,AUS,20327173,28950,82763045,0.1424201978307559
Burundi,BDI,49882,15,18764,0.030070967483260495
Botswana,BWA,326107,2779,1502742,0.8521742863538655
Cook Islands,COK,6389,1,10670,0.015651901706057285
Algeria,DZA,270570,6879,7840131,2.5424104667923273
Fiji,FJI,68207,878,709581,1.287257906080021
Haiti,HTI,56492,1505,358867,2.664094031013241
Comoros,COM,8467,160,409815,1.8896893823077832
Laos,LAO,215157,757,5847917,0.3518361010796767
Liberia,LBR,7929,294,3467301,3.70790768066591
Lithuania,LTU,1232367,9301,1952481,0.7547264735261493
Moldova,MDA,583183,11808,1079437,2.024750378526123
Singapore,SGP,1867168,1604,5024254,0.08590549966580405
Senegal,SEN,88230,1968,1473795,2.2305338320299217
South Africa,ZAF,11020928,249432,22293695,2.2632576857411646
Zambia,ZMB,333229,4017,7540676,1.205477314399407
Brazil,BRA,109948210,2220286,362612803,2.0193925849270307
Spain,ESP,31279968,217985,1141160473,0.6968837052518724
Angola,AGO,103131,1917,14220830,1.8588009424906187
Bolivia,BOL,1106538,22218,12401608,2.007884049169572
Cameroon,CMR,121652,1935,1569870,1.5906027027915695
Greece,GRC,4838811,32894,7926591,0.6797950984239723
Honduras,HND,455669,10989,6321966,2.411618960254044
Hungary,HUN,2070443,47409,6287618,2.2897998157882156
Japan,JPN,39621765,85733,104181296,0.2163785485073671
Kenya,KEN,399811,5675,13460152,1.4194206762695374
Montenegro,MNE,277805,2778,292783,0.9999820017638271
Myanmar,MMR,617739,19444,34777314,3.147607646595083
Macau,MAC,783,6,583291,0.7662835249042146
Norway,NOR,2898659,4038,4345038,0.13930579623198175
South Sudan,SSD,17780,138,1849007,0.7761529808773904
Tajikistan,TJK,17786,125,5213634,0.7027999550208028
East Timor,TLS,23237,138,847592,0.5938804492834703
Tonga,TON,16182,12,88432,0.07415647015202076
Tuvalu,TUV,20,0,7052,0.0
Yemen,YEM,11932,2155,711874,18.06067717063359
Estonia,EST,1187216,2661,866338,0.22413781485424725
Malaysia,MYS,9626305,72598,55760136,0.7541626823583919
Peru,PER,10651933,625820,29837772,5.875177772898121
Philippines,PHL,7926165,129872,77253008,1.6385225389579954
Romania,ROU,5905216,65122,8180548,1.1027877727080602
Afghanistan,AFG,352280,14432,10827184,4.096741228568185
Bosnia and Herzegovina,BIH,397602,16104,943394,4.0502814372161104
Chile,CHL,13636490,194597,18064495,1.427031442841963
Ethiopia,ETH,493367,7572,42681242,1.5347601278561396
Guyana,GUY,71209,1279,485891,1.7961212768048982
Iraq,IRQ,2458509,25348,11110310,1.0310314096877415
Jersey,JEY,59270,137,43816,0.23114560485911928
Saint Kitts and Nevis,KNA,6536,46,33794,0.7037943696450428
Lesotho,LSO,34287,704,924248,2.0532563362207252
Luxembourg,LUX,288527,1126,481657,0.3902581040942442
Mongolia,MNG,981618,2130,2269853,0.21698868602653987
Malta,MLT,114348,803,466098,0.7022422779585126
Nicaragua,NIC,14990,244,6051704,1.6277518345563708
Nauru,NRU,4610,1,10493,0.021691973969631236
Sweden,SWE,5157043,40106,15675064,0.7776937287511467
Trinidad and Tobago,TTO,181567,4176,753441,2.299977418804078
Argentina,ARG,27450377,379720,52967364,1.3832961201225031
India,IND,126463452,1501682,1755475513,1.1874434678566264
Barbados,BRB,101979,558,158986,0.5471714764804518
Cape Verde,CPV,62346,410,356355,0.657620376607962
Djibouti,DJI,15690,189,215597,1.2045889101338432
Dominican Republic,DOM,641677,4384,7276353,0.6832097768815152
United Kingdom,GBR,93262911,563933,136505229,0.6046701673294328
Indonesia,IDN,14524997,364925,203882351,2.5123929457610217
Mozambique,MOZ,454886,4411,13456303,0.9696935056255853
Netherlands,NLD,48677313,133015,12740770,0.2732587149993263
Panama,PAN,984234,8487,3497920,0.8622949420564622
Paraguay,PRY,715806,19530,3986765,2.728392888575955
Rwanda,RWA,132474,1466,10940142,1.106632244817851
Slovakia,SVK,1838393,20426,5586740,1.111079078303714
São Tomé and Príncipe,STP,6177,76,127161,1.2303707301278939
Sint Maarten,SXM,10855,87,13824,0.8014739751266697
Ukraine,UKR,10333691,223145,15774141,2.1593929990745804
Uruguay,URY,982846,7462,3000641,0.7592237237573333
Saint Vincent and the Grenadines,VCT,9446,116,28199,1.2280330298539064
Vietnam,VNM,11448034,43132,89618505,0.3767633813805934
Finland,FIN,1430775,5858,4521522,0.4094284566056857
Mexico,MEX,12986669,375972,96369318,2.8950610814828655
Albania,ALB,330149,3586,1335654,1.086176241636352
Belgium,BEL,8947328,32605,9541981,0.3644104698072989
Bermuda,BMU,18019,148,48554,0.8213552361396304
Falkland Islands,FLK,1886,0,2632,0.0
Gambia,GMB,12415,372,452514,2.996375352396295
Guatemala,GTM,1112550,19684,8735448,1.769268796908004
Cambodia,KHM,137739,3056,15172499,2.21868896971809
Sri Lanka,LKA,670519,16737,17114619,2.496126135128162
Marshall Islands,MHL,15180,17,40406,0.11198945981554677
Maldives,MDV,184966,308,398203,0.16651708962728284
Pakistan,PAK,1588301,30349,139267049,1.9107839131247792
Solomon Islands,SLB,21544,153,304590,0.7101745265503157
Togo,TGO,38678,284,2159001,0.7342675422720927
British Virgin Islands,VGB,7305,64,8187,0.8761122518822724
Zimbabwe,ZWE,256939,5596,6416575,2.1779488516729653
