Country Name,Total confirmed cases,Total deceased,Total vaccinations,Deceased to Confirmed cases %,Rank,CCA3,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
Uganda,169001,3628,18386089,2.1467328595688784,31,UGA,Kampala,Africa,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,195.61,1.0304,0.59
Czech Republic,12154031,122796,13947454,1.0103314694523982,88,CZE,Prague,Europe,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,133.0627,0.9984,0.13
Hong Kong,15441,216,6837449,1.3988731299786283,104,HKG,Hong Kong,Asia,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09
New Zealand,1746283,2955,4297219,0.16921655882809372,123,NZL,Wellington,Oceania,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467,19.1716,1.0108,0.07
Aruba,42970,228,74151,0.5306027461019316,198,ABW,Oranjestad,North America,106445,106585,104257,100341,89101,65712,62267,59106,180,591.3611,0.9991,0.0
Burkina Faso,21128,387,2676883,1.8316925407042788,58,BFA,Ouagadougou,Africa,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967,83.0641,1.0259,0.28
Bhutan,61419,21,695693,0.03419137400478679,165,BTN,Thimphu,Asia,782455,772506,743274,705516,587207,558442,415257,298894,38394,20.3796,1.0064,0.01
Iceland,205284,213,304895,0.10375869527094173,179,ISL,Reykjavík,Europe,372899,366669,331060,318333,281462,255019,228263,204468,103000,3.6204,1.0069,0.0
Kiribati,3430,13,82774,0.37900874635568516,192,KIR,Tarawa,Oceania,131232,126463,116707,107995,88826,75124,60813,57437,811,161.815,1.0183,0.0
Cayman Islands,30545,31,61663,0.10148960550008185,205,CYM,George Town,North America,68706,67311,60911,54074,39658,26027,17100,10533,264,260.25,1.0084,0.0
Madagascar,66652,1410,1521766,2.1154654023885255,50,MDG,Antananarivo,Africa,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,50.4423,1.0241,0.37
New Caledonia,74222,314,190408,0.423055158847781,185,NCL,Nouméa,Oceania,289950,286403,283032,261426,221537,177264,148599,110982,18575,15.6097,1.0075,0.0
French Polynesia,76578,649,186219,0.847501893494215,183,PYF,Papeete,Oceania,306279,301920,291787,283788,250927,211089,163591,117891,4167,73.5011,1.0074,0.0
Russia,32627601,706791,84004373,2.1662364940652545,9,RUS,Moscow,Europe,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,8.4636,0.9973,1.81
Sierra Leone,13087,219,2904587,1.6734163673874838,102,SLE,Freetown,Africa,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,71740,119.957,1.022,0.11
Venezuela,935540,5809,22157232,0.6209248134767087,51,VEN,Caracas,South America,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,916445,30.882,1.0036,0.35
Vanuatu,11921,14,143339,0.11743981209630065,181,VUT,Port-Vila,Oceania,326740,311685,276438,245453,192074,150882,118156,87019,12189,26.8061,1.0238,0.0
Wallis and Futuna,761,7,5197,0.9198423127463863,226,WLF,Mata-Utu,Oceania,11572,11655,12182,13142,14723,13454,11315,9377,142,81.493,0.9953,0.0
