country_name,3 letter country code,Total confirmed cases,Total vaccinations
Syria,SYR,57197,2940095
São Tomé and Príncipe,STP,6177,127161
Taiwan,TWN,10061168,21634247
Tajikistan,TJK,17786,5213634
Tanzania,TZA,39253,19658725
Thailand,THA,9342446,56972124
Togo,TGO,38678,2159001
Tokelau,TKL,0,1339
Tonga,TON,16182,88432
Trinidad and Tobago,TTO,181567,753441
Tunisia,TUN,1145163,8896848
Turkey,TUR,16852382,54854453
Turkmenistan,TKM,0,2937760
Turks and Caicos Islands,TCA,6380,32338
Tuvalu,TUV,20,7052
Uganda,UGA,169001,18386089
Ukraine,UKR,10333691,15774141
United Arab Emirates,ARE,1021191,9154521
United Kingdom,GBR,93262911,136505229
United States of America,USA,272181074,519008567
Uruguay,URY,982846,3000641
Uzbekistan,UZB,244006,21051293
Vanuatu,VUT,11921,143339
Venezuela,VEN,935540,22157232
Vietnam,VNM,11448034,89618505
Wallis and Futuna,WLF,761,5197
Yemen,YEM,11932,711874
Zambia,ZMB,333229,7540676
Zimbabwe,ZWE,256939,6416575
